Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
239313400,Desperate Measures (Convergence Book 5),Craig Alanson,"Alanson, Craig",,"=""""","=""""",0,4.47,,Kindle Edition,540,2025,,,2026/03/06,to-read,to-read (#2),to-read,,,,0,0
241936481,"Ground State (Expeditionary Force, #19)",Craig Alanson,"Alanson, Craig",R.C. Bray,"=""""","=""""",0,4.35,Podium Audio,Audible Audio,,2026,,,2026/03/06,,,read,,,,1,0
213062735,Recon (Convergence #4),Craig Alanson,"Alanson, Craig",,"=""""","=""""",0,4.32,,Kindle Edition,566,2024,2024,,2026/03/06,,,read,,,,1,0
194952095,First Strike (Convergence #3),Craig Alanson,"Alanson, Craig",,"=""""","=""""",0,4.38,,Kindle Edition,590,2023,2023,,2026/03/06,,,read,,,,1,0
157346360,Dragonslayer (Convergence #2),Craig Alanson,"Alanson, Craig",,"=""""","=""""",0,4.27,,Kindle Edition,449,2023,2023,,2026/03/06,,,read,,,,1,0
61189261,Convergence (Convergence #1),Craig Alanson,"Alanson, Craig",,"=""""","=""""",0,4.13,,Kindle Edition,565,2022,2022,,2026/03/06,,,read,,,,1,0
229390825,"Gateway (Expeditionary Force, #18)",Craig Alanson,"Alanson, Craig",,"=""""","=""""",0,4.42,,Kindle Edition,444,2025,,,2026/03/06,,,read,,,,1,0
45712668,"Homefront (Expeditionary Force, #7.5)",Craig Alanson,"Alanson, Craig","Zachary Quinto, R.C. Bray, Kate Mulgrew, Robert Picardo, Lisa Reneé Pitts, P.J. Ochlan, Peter Berkrot, Kym Dakin, Bill Dufris, Corey Gagne, Nimo Gandhi, Emily Grotz, Dalton S. Kimball, Austin Ku, Daniel Logan, John Dalton Logan, Christopher Price, Michael Rafkin, Lisa Stathoplos, Casey Turner, Jennywren Walker, Marjolaine Whittlesey, Ashanti Williams, Jonathan Woodward, Collin Young","=""""","=""""",0,3.85,Podium Presents,Audible Audio,6,2019,2019,,2026/03/06,,,read,,,,1,0
45028761,"Deathtrap (Mavericks, #1)",Craig Alanson,"Alanson, Craig",,"=""""","=""""",0,4.31,,Kindle Edition,425,2019,2019,,2026/03/06,,,read,,,,1,0
218103687,"Task Force Hammer (Expeditionary Force, #17)",Craig Alanson,"Alanson, Craig",,"=""""","=""""",0,4.47,,Kindle Edition,469,2024,2024,,2026/03/06,,,read,,,,1,0
197694719,"Aftermath (Expeditionary Force, #16)",Craig Alanson,"Alanson, Craig",,"=""""","=""""",0,4.38,,Kindle Edition,469,2023,2023,,2026/03/06,,,read,,,,1,0
63358096,"Failure Mode (Expeditionary Force, #15)",Craig Alanson,"Alanson, Craig",,"=""""","=""""",0,4.48,,Kindle Edition,697,2022,2022,,2026/03/06,,,read,,,,1,0
60874817,"Match Game (Expeditionary Force, #14)",Craig Alanson,"Alanson, Craig",,"=""""","=""""",0,4.50,,Kindle Edition,698,2022,2022,,2026/03/06,,,read,,,,1,0
59021177,"Fallout (Expeditionary Force, #13)",Craig Alanson,"Alanson, Craig",R.C. Bray,"=""""","=""""",0,4.52,Podium Audio,Audible Audio,23,2021,2021,,2026/03/06,,,read,,,,1,0
34670700,"Trouble on Paradise (Expeditionary Force, #3.5)",Craig Alanson,"Alanson, Craig",,"=""""","=""""",0,4.17,Amazon Digital Services,ebook,167,2017,2017,,2026/03/06,,,read,,,,1,0
57662892,"Breakaway (Expeditionary Force, #12)",Craig Alanson,"Alanson, Craig",,"=""""","=""""",0,4.47,,Kindle Edition,393,2021,2021,,2026/03/06,,,read,,,,1,0
53319151,"Brushfire (Expeditionary Force, #11)",Craig Alanson,"Alanson, Craig",,"=""""","=""9798580899206""",0,4.44,Independently published,Paperback,392,2020,2020,,2026/03/06,,,read,,,,1,0
53179797,"Critical Mass (Expeditionary Force, #10)",Craig Alanson,"Alanson, Craig",,"=""""","=""""",0,4.52,,Kindle Edition,395,2020,2020,,2026/03/06,,,read,,,,1,0
49016595,"Valkyrie (Expeditionary Force, #9)",Craig Alanson,"Alanson, Craig",,"=""""","=""""",0,4.43,,Kindle Edition,398,2019,2019,,2026/03/06,,,read,,,,1,0
52736489,"Armageddon (Expeditionary Force, #8)",Craig Alanson,"Alanson, Craig",,"=""""","=""""",0,4.42,,ebook,456,2019,2019,,2026/03/06,,,read,,,,1,0
42844512,"Renegades (Expeditionary Force, #7)",Craig Alanson,"Alanson, Craig",,"=""""","=""""",0,4.37,,Kindle Edition,316,2018,2018,,2026/03/06,,,read,,,,1,0
40280648,"Mavericks (Expeditionary Force, #6)",Craig Alanson,"Alanson, Craig",,"=""""","=""""",0,4.28,,Kindle Edition,291,2018,2018,,2026/03/06,,,read,,,,1,0
